Price,Adj Close,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,,
1999-03-01,44.474849700927734,52.46875,54.1875,48.5,51.125,110048000
1999-04-01,45.53438186645508,53.71875,57.28125,48.84375,54.0,256366400
1999-05-01,44.10399627685547,52.03125,56.0,48.9375,53.5625,259300000
1999-06-01,48.84550857543945,57.625,59.9375,49.5703125,51.9375,247872200
1999-07-01,47.971370697021484,56.59375,61.71875,55.78125,57.8125,195790400
1999-08-01,50.593780517578125,59.6875,61.75,52.9375,56.6875,257880600
1999-09-01,51.0175895690918,60.1875,63.75,58.625,60.0625,289632000
1999-10-01,55.732608795166016,65.75,66.25,57.4140625,59.375,415435200
1999-11-01,62.30186080932617,73.5,78.78125,65.1953125,65.75,366819200
1999-12-01,77.4534912109375,91.375,93.75,73.75,74.3125,465355600
2000-01-01,76.02308654785156,89.6875,97.625,79.75,96.1875,583431800
2000-02-01,90.48601531982422,106.75,107.5,88.4375,89.53125,575169800
2000-03-01,92.81704711914062,109.5,120.5,101.0,107.25,721106900
2000-04-01,80.31429290771484,94.75,109.125,78.0,107.765625,678411400
2000-05-01,70.46041107177734,83.125,96.875,72.25,95.75,563189300
2000-06-01,79.20174407958984,93.4375,99.71875,82.5,85.1875,469516700
2000-07-01,75.81117248535156,89.4375,102.0625,85.71875,93.5,381758100
2000-08-01,86.14185333251953,101.625,102.0,83.3125,89.8125,378312400
2000-09-01,75.22840118408203,88.75,103.515625,87.0,103.0,510706700
2000-10-01,69.25515747070312,81.703125,90.25,73.625,90.25,904925400
2000-11-01,53.38835144042969,62.984375,84.125,60.5,80.3125,936207600
2000-12-01,49.481239318847656,58.375,74.78125,54.25,64.0625,1087788500
2001-01-01,54.5035400390625,64.30000305175781,69.125,52.15625,58.5625,1197806700
2001-02-01,40.220706939697266,47.45000076293945,65.61000061035156,46.86000061035156,64.55000305175781,1215871200
2001-03-01,33.18526840209961,39.150001525878906,50.65999984741211,38.0,46.970001220703125,1724918800
2001-04-01,39.11878967285156,46.150001525878906,49.439998626708984,33.599998474121094,39.16999816894531,1643682200
2001-05-01,37.91510772705078,44.72999954223633,51.95000076293945,43.349998474121094,46.20000076293945,1394690300
2001-06-01,38.73735046386719,45.70000076293945,49.4900016784668,41.2599983215332,45.540000915527344,1363050300
2001-07-01,35.39763259887695,41.7599983215332,46.47999954223633,39.310001373291016,45.650001525878906,1198392500
2001-08-01,31.049203872680664,36.630001068115234,44.0,35.75,42.630001068115234,1313411700
2001-09-01,24.564739227294922,28.979999542236328,37.5,27.200000762939453,36.5099983215332,1302116200
2001-10-01,28.73515510559082,33.900001525878906,37.060001373291016,27.850000381469727,28.850000381469727,2160146800
2001-11-01,33.609100341796875,39.650001525878906,40.970001220703125,33.779998779296875,34.439998626708984,1721098400
2001-12-01,32.98183059692383,38.90999984741211,43.2400016784668,38.439998626708984,39.290000915527344,1277765400
2002-01-01,32.64278030395508,38.5099983215332,42.599998474121094,36.849998474121094,39.56999969482422,1579424600
2002-02-01,28.633419036865234,33.779998779296875,38.880001068115234,33.09000015258789,38.400001525878906,1597517000
2002-03-01,30.56605339050293,36.060001373291016,39.189998626708984,34.09000015258789,34.150001525878906,1551664300
2002-04-01,26.895751953125,31.729999542236328,36.900001525878906,30.559999465942383,35.79999923706055,1758315600
2002-05-01,25.46323585510254,30.040000915527344,33.630001068115234,28.420000076293945,31.670000076293945,2095742700
2002-06-01,22.123516082763672,26.100000381469727,30.25,24.389999389648438,30.0,2262935100
2002-07-01,20.21631622314453,23.850000381469727,26.549999237060547,21.639999389648438,25.969999313354492,2668049100
2002-08-01,19.911161422729492,23.489999771118164,26.209999084472656,21.299999237060547,23.739999771118164,2043810200
2002-09-01,17.563190460205078,20.719999313354492,24.350000381469727,20.489999771118164,23.059999465942383,1669047400
2002-10-01,20.809673309326172,24.549999237060547,25.040000915527344,19.760000228881836,20.90999984741211,2129150100
2002-11-01,23.4966983795166,27.719999313354492,28.290000915527344,24.139999389648438,24.3700008392334,1669954700
2002-12-01,20.657100677490234,24.3700008392334,28.790000915527344,24.280000686645508,28.420000076293945,1397055800
2003-01-01,20.71642303466797,24.440000534057617,27.469999313354492,24.010000228881836,24.719999313354492,1513988000
2003-02-01,21.32673454284668,25.15999984741211,25.3700008392334,23.31999969482422,24.520000457763672,1276622500
2003-03-01,21.403017044067383,25.25,27.3799991607666,23.540000915527344,25.270000457763672,1670716200
2003-04-01,23.26783561706543,27.450000762939453,28.059999465942383,25.25,25.440000534057617,1411620800
2003-05-01,25.251319885253906,29.790000915527344,29.8700008392334,27.190000534057617,27.440000534057617,1525708300
2003-06-01,25.386953353881836,29.950000762939453,31.469999313354492,29.309999465942383,30.079999923706055,1799755700
2003-07-01,26.955089569091797,31.799999237060547,32.75,29.260000228881836,29.700000762939453,1821510200
2003-08-01,28.302841186523438,33.38999938964844,33.459999084472656,29.93000030517578,31.690000534057617,1414186200
2003-09-01,27.480628967285156,32.41999816894531,34.86000061035156,32.36000061035156,33.4900016784668,1904565100
2003-10-01,29.82013511657715,35.18000030517578,36.0,32.41999816894531,32.61000061035156,1912564700
2003-11-01,29.989654541015625,35.380001068115234,36.18000030517578,33.72999954223633,35.43000030517578,1497010400
2003-12-01,30.90512466430664,36.459999084472656,36.63999938964844,34.130001068115234,35.709999084472656,1740828600
2004-01-01,31.434452056884766,37.06999969482422,39.0,36.220001220703125,36.65999984741211,1759300400
2004-02-01,31.010452270507812,36.56999969482422,37.970001220703125,36.099998474121094,37.20000076293945,1728110800
2004-03-01,30.391450881958008,35.84000015258789,37.18000030517578,34.0099983215332,36.68000030517578,2509465300
2004-04-01,29.484111785888672,34.77000045776367,37.5,34.720001220703125,35.810001373291016,2211173100
2004-05-01,30.993494033813477,36.54999923706055,36.54999923706055,34.11000061035156,35.0,2429662200
2004-06-01,32.002586364746094,37.7400016784668,37.900001525878906,35.81999969482422,36.27000045776367,1811072200
2004-07-01,29.58586883544922,34.88999938964844,37.65999984741211,33.70000076293945,37.65999984741211,2262048100
2004-08-01,28.848119735717773,34.02000045776367,35.02000045776367,32.349998474121094,34.61000061035156,2012635000
2004-09-01,29.797863006591797,35.13999938964844,35.849998474121094,33.79999923706055,33.93000030517578,1951089100
2004-10-01,31.290292739868164,36.900001525878906,37.2400016784668,35.20000076293945,35.45000076293945,2259101600
2004-11-01,33.17281723022461,39.119998931884766,39.63999938964844,36.79999923706055,36.97999954223633,1978225300
2004-12-01,33.85117721557617,39.91999816894531,40.68000030517578,39.09000015258789,39.27000045776367,1779424600
2005-01-01,32.01803970336914,37.400001525878906,40.290000915527344,36.459999084472656,40.09000015258789,2234773200
2005-02-01,31.863935470581055,37.220001220703125,38.47999954223633,36.70000076293945,37.4900016784668,1765610600
2005-03-01,31.307472229003906,36.56999969482422,38.290000915527344,35.939998626708984,37.369998931884766,2133973700
2005-04-01,29.946273803710938,34.97999954223633,37.06999969482422,34.349998474121094,36.81999969482422,2345433600
2005-05-01,32.60017395019531,38.08000183105469,38.27000045776367,34.88999938964844,35.099998474121094,1881340000
2005-06-01,31.48725700378418,36.779998779296875,38.68000030517578,36.70000076293945,38.029998779296875,1943627500
2005-07-01,33.9156494140625,39.58000183105469,39.91999816894531,36.54999923706055,36.86000061035156,1620613000
2005-08-01,33.401512145996094,38.97999954223633,40.13999938964844,38.2599983215332,39.63999938964844,1714890300
2005-09-01,33.81283187866211,39.459999084472656,39.90999984741211,38.2400016784668,39.0,1676662500
2005-10-01,33.3072624206543,38.869998931884766,39.880001068115234,37.33000183105469,39.540000915527344,2279169700
2005-11-01,35.338077545166016,41.2400016784668,42.02000045776367,38.709999084472656,38.779998779296875,1718491700
2005-12-01,34.626888275146484,40.40999984741211,42.310001373291016,40.36000061035156,41.5099983215332,1416706400
2006-01-01,36.07615280151367,42.0,43.310001373291016,40.15999984741211,40.650001525878906,1968905800
2006-02-01,35.30307388305664,41.099998474121094,42.16999816894531,40.2599983215332,41.7400016784668,1646562100
2006-03-01,36.01601028442383,41.93000030517578,42.29999923706055,40.189998626708984,41.22999954223633,2185862300
2006-04-01,35.97249221801758,41.849998474121094,43.04999923706055,41.38999938964844,42.150001525878906,1763904700
2006-05-01,33.368045806884766,38.81999969482422,42.279998779296875,38.22999954223633,41.91999816894531,2709535300
2006-06-01,33.3250617980957,38.77000045776367,40.0,37.15999984741211,38.93000030517578,3052135000
2006-07-01,31.91107177734375,37.099998474121094,39.0,35.540000915527344,38.88999938964844,2462886000
2006-08-01,33.433528900146484,38.869998931884766,39.029998779296875,36.2599983215332,36.77000045776367,2281929100
2006-09-01,34.96457290649414,40.650001525878906,40.95000076293945,38.31999969482422,39.08000183105469,2234461000
2006-10-01,36.645694732666016,42.58000183105469,42.91999816894531,39.880001068115234,40.599998474121094,2410484000
2006-11-01,37.9022216796875,44.040000915527344,44.86000061035156,41.61000061035156,42.72999954223633,2370363000
2006-12-01,37.144859313964844,43.15999984741211,44.7599983215332,42.880001068115234,44.0,1898275500
2007-01-01,37.974273681640625,44.06999969482422,45.400001525878906,42.52000045776367,43.459999084472656,2620557700
2007-02-01,37.33660888671875,43.33000183105469,45.54999923706055,42.93000030517578,44.27000045776367,2394303300
2007-03-01,37.50894546508789,43.529998779296875,44.45000076293945,42.060001373291016,42.54999923706055,2886831700
2007-04-01,39.62779235839844,45.959999084472656,46.70000076293945,43.29999923706055,43.66999816894531,1840448700
2007-05-01,40.877994537353516,47.40999984741211,47.52000045776367,45.65999984741211,45.970001220703125,2575501900
2007-06-01,41.04181671142578,47.599998474121094,47.91999816894531,46.15999984741211,47.58000183105469,2815209900
2007-07-01,41.013519287109375,47.529998779296875,50.65999984741211,47.43000030517578,47.709999084472656,2780452500
2007-08-01,42.16978454589844,48.869998931884766,49.060001373291016,44.38999938964844,47.38999938964844,3835583500
2007-09-01,44.36155700683594,51.40999984741211,51.68000030517578,47.810001373291016,48.93000030517578,1980639900
2007-10-01,47.50993728637695,55.029998779296875,55.06999969482422,51.34000015258789,51.45000076293945,3400285100
2007-11-01,44.29829788208008,51.310001373291016,54.77000045776367,48.650001525878906,54.68000030517578,4567776300
2007-12-01,44.22058868408203,51.220001220703125,52.84000015258789,49.18000030517578,51.09000015258789,2233867700
2008-01-01,39.00341796875,45.130001068115234,51.470001220703125,41.61000061035156,51.27000045776367,4828694600
2008-02-01,37.119380950927734,42.95000076293945,45.880001068115234,42.150001525878906,45.5,3020516600
2008-03-01,37.78483581542969,43.720001220703125,45.06999969482422,41.04999923706055,42.91999816894531,3404279700
2008-04-01,40.83293533325195,47.209999084472656,48.060001373291016,43.68000030517578,44.41999816894531,2616810900
2008-05-01,43.25471115112305,50.0099983215332,50.470001220703125,47.220001220703125,47.22999954223633,2682797700
2008-06-01,39.06850051879883,45.16999816894531,50.61000061035156,44.970001220703125,49.91999816894531,3542909100
2008-07-01,39.34674835205078,45.459999084472656,46.150001525878906,43.29999923706055,44.810001373291016,3953264300
2008-08-01,39.91799545288086,46.119998931884766,48.56999969482422,44.29999923706055,45.5099983215332,2893866300
2008-09-01,33.67756652832031,38.90999984741211,47.08000183105469,37.18000030517578,46.869998931884766,5188670400
2008-10-01,28.486299514770508,32.88999938964844,38.970001220703125,28.09000015258789,38.84000015258789,7240779800
2008-11-01,25.221067428588867,29.1200008392334,34.0099983215332,25.049999237060547,32.810001373291016,3919285900
2008-12-01,25.758056640625,29.739999771118164,30.829999923706055,26.84000015258789,28.5,2944238700
2009-01-01,25.205642700195312,29.059999465942383,31.6299991607666,27.959999084472656,29.75,2829542600
2009-02-01,23.878578186035156,27.530000686645508,31.68000030517578,27.389999389648438,28.780000686645508,3324074200
2009-03-01,26.29852294921875,30.31999969482422,31.459999084472656,25.6299991607666,27.1200008392334,3805123800
2009-04-01,29.782461166381836,34.279998779296875,34.900001525878906,29.790000915527344,29.940000534057617,2991632100
2009-05-01,30.73813819885254,35.380001068115234,35.5,32.959999084472656,34.27000045776367,2734076200
2009-06-01,31.606937408447266,36.380001068115234,37.22999954223633,34.77000045776367,35.7599983215332,2511948000
2009-07-01,34.31632614135742,39.45000076293945,40.18000030517578,34.29999923706055,36.560001373291016,2575607800
2009-08-01,34.820831298828125,40.029998779296875,41.08000183105469,38.459999084472656,39.869998931884766,2248149500
2009-09-01,36.751956939697266,42.25,43.16999816894531,39.02000045776367,39.88999938964844,2114774900
2009-10-01,35.6642951965332,40.959999084472656,43.81999969482422,40.720001220703125,42.099998474121094,2291065900
2009-11-01,37.928138732910156,43.560001373291016,44.650001525878906,40.63999938964844,41.0,1807922400
2009-12-01,39.834991455078125,45.75,46.29999923706055,43.31999969482422,43.88999938964844,1524036700
2010-01-01,37.31986618041992,42.790000915527344,46.63999938964844,42.630001068115234,46.33000183105469,2382152500
2010-02-01,39.03803634643555,44.7599983215332,45.04999923706055,42.119998931884766,42.900001525878906,1932176400
2010-03-01,42.003379821777344,48.15999984741211,48.599998474121094,44.95000076293945,44.959999084472656,1623606900
2010-04-01,42.99116516113281,49.2400016784668,50.650001525878906,47.790000915527344,48.36000061035156,1701457500
2010-05-01,39.813087463378906,45.599998474121094,50.16999816894531,42.63999938964844,49.45000076293945,2952228100
2010-06-01,37.289833068847656,42.709999084472656,47.68000030517578,42.63999938964844,45.43000030517578,2058088600
2010-07-01,40.15105438232422,45.810001373291016,46.720001220703125,41.77000045776367,42.84000015258789,1748673600
2010-08-01,38.09135818481445,43.459999084472656,47.189998626708984,42.970001220703125,46.38999938964844,1483278100
2010-09-01,43.00834274291992,49.06999969482422,49.84000015258789,44.06999969482422,44.099998474121094,1574743200
2010-10-01,45.84124755859375,52.18000030517578,52.4900016784668,48.20000076293945,49.47999954223633,1538354800
2010-11-01,45.762184143066406,52.09000015258789,54.040000915527344,50.849998474121094,52.369998931884766,1564994700
2010-12-01,47.84427261352539,54.459999084472656,54.959999084472656,52.84000015258789,52.86000061035156,1006766900
2011-01-01,49.29473876953125,56.0,57.349998474121094,54.91999816894531,54.970001220703125,1265608600
2011-02-01,50.85279846191406,57.77000045776367,59.040000915527344,56.130001068115234,56.41999816894531,1101561900
2011-03-01,50.55351638793945,57.43000030517578,58.369998931884766,53.77000045776367,58.02000045776367,1729243300
2011-04-01,52.07933807373047,59.08000183105469,59.290000915527344,55.31999969482422,57.720001220703125,1032891200
2011-05-01,51.444637298583984,58.36000061035156,59.34000015258789,56.470001220703125,59.16999816894531,1054622500
2011-06-01,50.28988265991211,57.04999923706055,58.36000061035156,53.619998931884766,58.220001220703125,1155628500
2011-07-01,51.24195861816406,58.0,59.83000183105469,56.869998931884766,57.08000183105469,1277418400
2011-08-01,48.64452362060547,55.060001373291016,58.81999969482422,49.93000030517578,58.70000076293945,2526145600
2011-09-01,46.373966217041016,52.4900016784668,57.349998474121094,51.90999984741211,55.20000076293945,1666877800
2011-10-01,51.292747497558594,57.95000076293945,59.20000076293945,50.099998474121094,52.02000045776367,1616785100
2011-11-01,49.911949157714844,56.38999938964844,58.97999954223633,52.869998931884766,56.52000045776367,1295070500
2011-12-01,49.41627883911133,55.83000183105469,57.619998931884766,54.16999816894531,56.380001068115234,1004361600
2012-01-01,53.7813835144043,60.529998779296875,60.86000061035156,56.560001373291016,56.90999984741211,828883900
2012-02-01,57.228790283203125,64.41000366210938,64.95999908447266,60.65999984741211,60.880001068115234,1018602500
2012-03-01,60.01871109008789,67.55000305175781,68.51000213623047,63.22999954223633,64.6500015258789,1070054300
2012-04-01,59.41748046875,66.76000213623047,68.55000305175781,64.44999694824219,67.4800033569336,1056184900
2012-05-01,55.234397888183594,62.060001373291016,67.62999725341797,60.7599983215332,66.69000244140625,1300328800
2012-06-01,57.103424072265625,64.16000366210938,64.56999969482422,60.040000915527344,60.939998626708984,973815200
2012-07-01,57.80561065673828,64.80000305175781,65.30999755859375,61.86000061035156,64.25,860805100
2012-08-01,60.80293655395508,68.16000366210938,68.87999725341797,63.90999984741211,65.26000213623047,679866200
2012-09-01,61.16868209838867,68.56999969482422,70.58000183105469,67.41999816894531,68.02999877929688,639521900
2012-10-01,58.10464859008789,64.94999694824219,69.80000305175781,64.6500015258789,68.9000015258789,863124200
2012-11-01,58.86505889892578,65.80000305175781,66.20999908447266,61.310001373291016,65.36000061035156,901783900
2012-12-01,58.26567840576172,65.12999725341797,66.76000213623047,63.58000183105469,66.30999755859375,815856000
2013-01-01,60.155460357666016,66.87000274658203,67.79000091552734,66.16999816894531,66.7300033569336,741836700
2013-02-01,60.36237335205078,67.0999984741211,68.26000213623047,65.95999908447266,67.33999633789062,656562100
2013-03-01,62.044612884521484,68.97000122070312,69.05999755859375,66.54000091552734,66.87000274658203,557979300
2013-04-01,63.76610565185547,70.72000122070312,70.7300033569336,66.87999725341797,69.0199966430664,835537700
2013-05-01,66.04737854003906,73.25,74.94999694824219,70.25,70.73999786376953,680414200
2013-06-01,64.2620620727539,71.2699966430664,73.81999969482422,69.1500015258789,73.26000213623047,748561600
2013-07-01,68.53569030761719,75.7699966430664,76.20999908447266,71.3499984741211,71.75,581695700
2013-08-01,68.26432037353516,75.47000122070312,77.27999877929688,74.95999908447266,76.29000091552734,529245500
2013-09-01,71.34873962402344,78.87999725341797,79.69000244140625,75.54000091552734,76.08999633789062,503988800
2013-10-01,75.11031341552734,82.79000091552734,83.48999786376953,76.3499984741211,78.88999938964844,817353700
2013-11-01,77.7775650024414,85.7300033569336,85.83999633789062,81.37000274658203,83.06999969482422,542339400
2013-12-01,79.80074310302734,87.95999908447266,87.95999908447266,84.05000305175781,85.83000183105469,651649200
2014-01-01,78.51608276367188,86.2699966430664,89.0,84.76000213623047,87.55000305175781,831732700
2014-02-01,82.22028350830078,90.33999633789062,90.95999908447266,83.73999786376953,86.11000061035156,713558700
2014-03-01,80.12152099609375,87.66999816894531,91.36000061035156,86.4000015258789,89.48999786376953,809345400
2014-04-01,80.04822540283203,87.38999938964844,89.68000030517578,83.27999877929688,88.0999984741211,1141398200
2014-05-01,83.6388931274414,91.30999755859375,91.44999694824219,85.52999877929688,87.52999877929688,789193700
2014-06-01,86.0204849243164,93.91000366210938,94.13999938964844,90.63999938964844,91.41999816894531,567012900
2014-07-01,87.27112579345703,95.0199966430664,97.51000213623047,93.62999725341797,94.23999786376953,661530400
2014-08-01,91.64292907714844,99.77999877929688,99.91000366210938,93.88999938964844,94.81999969482422,645904700
2014-09-01,90.73369598388672,98.79000091552734,100.55999755859375,97.69999694824219,100.0199966430664,755958700
2014-10-01,93.35240173339844,101.4000015258789,101.75,90.23999786376953,98.51000213623047,1285037500
2014-11-01,97.59651184082031,106.01000213623047,106.25,100.66999816894531,101.58000183105469,434990100
2014-12-01,95.05555725097656,103.25,105.91999816894531,99.91999816894531,105.72000122070312,815702200
2015-01-01,93.42301177978516,101.0999984741211,104.58000183105469,99.36000061035156,103.76000213623047,826291600
2015-02-01,100.16868591308594,108.4000015258789,108.94000244140625,99.75,101.33000183105469,472456500
2015-03-01,97.58129119873047,105.5999984741211,109.41999816894531,104.23999786376953,108.61000061035156,633635600
2015-04-01,99.68590545654297,107.62999725341797,111.16000366210938,104.33999633789062,105.5999984741211,568699300
2015-05-01,101.9272689819336,110.05000305175781,111.08000183105469,106.0,108.05000305175781,518233500
2015-06-01,99.16720581054688,107.06999969482422,111.12999725341797,106.63999938964844,110.63999938964844,577030600
2015-07-01,103.9255142211914,111.94999694824219,114.38999938964844,105.83000183105469,108.12999725341797,644885700
2015-08-01,96.83314514160156,104.30999755859375,113.0,84.73999786376953,111.97000122070312,1010304800
2015-09-01,94.46592712402344,101.76000213623047,108.7300033569336,98.75,101.70999908447266,881201500
2015-10-01,105.46255493164062,113.33000183105469,114.08000183105469,100.4800033569336,101.94000244140625,740627200
2015-11-01,106.10467529296875,114.0199966430664,115.47000122070312,109.4800033569336,113.62999725341797,543413300
2015-12-01,104.0946273803711,111.86000061035156,115.75,109.37999725341797,114.4800033569336,757497500
2016-01-01,97.19717407226562,104.12999725341797,110.18000030517578,97.25,109.44999694824219,1077308200
2016-02-01,95.67570495605469,102.5,104.80000305175781,94.83999633789062,103.62999725341797,942259600
2016-03-01,101.92960357666016,109.19999694824219,110.04000091552734,103.16000366210938,103.4800033569336,601605100
2016-04-01,98.97402954101562,105.72000122070312,111.44000244140625,104.87999725341797,108.54000091552734,559253800
2016-05-01,103.29924774169922,110.33999633789062,110.51000213623047,104.4000015258789,105.98999786376953,536482700
2016-06-01,100.67790222167969,107.54000091552734,110.75,101.75,110.0,577926300
2016-07-01,108.16455078125,115.2300033569336,115.54000091552734,106.56999969482422,107.48999786376953,421072600
2016-08-01,109.30033874511719,116.44000244140625,118.01000213623047,114.22000122070312,115.30999755859375,369269900
