Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1995-01-01,27.58464813232422,47.09375,47.234375,45.6875,45.703125,2768000
1995-02-01,28.710378646850586,49.015625,49.15625,47.0,47.15625,5954800
1995-03-01,29.351022720336914,50.109375,50.890625,48.21875,48.96875,4538000
1995-04-01,30.384061813354492,51.59375,51.671875,50.0625,50.09375,4395200
1995-05-01,31.589473724365234,53.640625,53.640625,51.390625,51.546875,6986200
1995-06-01,32.040367126464844,54.40625,55.15625,52.75,53.40625,5790900
1995-07-01,33.265167236328125,56.15625,56.703125,54.203125,54.46875,5508200
1995-08-01,33.41326141357422,56.40625,56.796875,55.421875,56.234375,8100100
1995-09-01,34.64426803588867,58.484375,58.90625,56.34375,56.390625,7431600
1995-10-01,34.726837158203125,58.3125,59.1875,57.265625,58.484375,8944800
1995-11-01,36.2714729309082,60.90625,61.203125,58.234375,58.28125,8841700
1995-12-01,36.61577224731445,61.484375,62.796875,60.578125,60.984375,9816800
1996-01-01,38.15294647216797,63.671875,63.6875,59.640625,61.40625,10661800
1996-02-01,38.274620056152344,63.875,66.6875,63.4375,63.609375,14850400
1996-03-01,38.76148223876953,64.6875,65.96875,62.0,64.640625,19022700
1996-04-01,39.356842041015625,65.390625,65.8125,62.125,65.0,14999300
1996-05-01,40.25026321411133,66.875,68.4375,63.078125,65.375,17453200
1996-06-01,40.39131546020508,67.109375,68.5,66.15625,66.890625,16871800
1996-07-01,38.78071594238281,64.09375,67.703125,60.375,67.28125,28811500
1996-08-01,39.527587890625,65.328125,67.34375,64.0625,64.15625,15593100
1996-09-01,41.52238082885742,68.625,69.25,64.375,64.46875,17216100
1996-10-01,43.085472106933594,70.84375,71.625,68.4375,68.703125,14791800
1996-11-01,46.23086929321289,76.015625,76.6875,70.265625,70.984375,24089700
1996-12-01,44.90999221801758,73.84375,76.578125,71.875,75.921875,34952800
1997-01-01,47.91913986206055,78.40625,79.6875,72.75,74.375,43623700
1997-02-01,48.37750244140625,79.15625,82.0,77.125,78.71875,30028800
1997-03-01,46.066551208496094,75.375,81.796875,75.25,78.75,37514300
1997-04-01,49.137943267822266,80.09375,80.6875,73.3125,75.25,57679300
1997-05-01,52.243804931640625,85.15625,85.5625,79.3125,80.21875,37473400
1997-06-01,54.18017578125,88.3125,90.5,84.078125,85.34375,47332500
1997-07-01,58.70241165161133,95.3125,96.03125,88.390625,88.5,65359700
1997-08-01,55.66142272949219,90.375,96.625,89.34375,95.5,99046800
1997-09-01,58.12499237060547,94.375,96.375,90.25,90.6875,78642200
1997-10-01,56.90874481201172,92.0625,98.5,84.375,95.25,137440500
1997-11-01,59.11092758178711,95.625,96.8125,90.09375,93.1875,93157400
1997-12-01,59.999515533447266,97.0625,99.0,92.375,96.21875,79162300
1998-01-01,61.01405715942383,98.3125,99.5625,90.90625,97.3125,104582300
1998-02-01,65.24195861816406,105.125,105.53125,99.71875,99.90625,69733700
1998-03-01,68.2286148071289,109.9375,111.53125,103.15625,105.25,87316900
1998-04-01,69.2999496459961,111.34375,113.4375,107.625,110.3125,118629400
1998-05-01,67.86064147949219,109.03125,113.3125,107.578125,111.75,116264800
1998-06-01,70.52526092529297,113.3125,114.6875,107.5,108.96875,141993600
1998-07-01,69.79360961914062,111.78125,119.234375,111.3125,114.0625,155280200
1998-08-01,59.940181732177734,96.0,112.421875,95.0,111.78125,268542800
1998-09-01,63.53034973144531,101.75,107.0,93.625,96.0625,269370500
1998-10-01,68.924072265625,110.0,110.90625,92.21875,100.03125,249152700
1998-11-01,72.76185607910156,116.125,119.71875,110.1875,110.8125,136369000
1998-12-01,77.26539611816406,123.3125,124.75,113.75,116.125,156026700
1999-01-01,80.25283813476562,127.65625,128.5,120.375,123.375,141419000
1999-02-01,77.67923736572266,123.5625,128.84375,121.328125,128.6875,164624900
1999-03-01,80.70470428466797,128.375,132.625,121.78125,123.65625,148191100
